SampleNumber	UniqueID	Notes
1	BLANK1	
2	BIOFAC_1	
3	BIOFAC_2	
4	BIOFAC_3	
5	BIOFAC_4	
6	BIOFAC_5	
7	BIOFAC_6	
8	BIOFAC_7	
9	BIOFAC_8	
10	BIOFAC_9	
11	BIOFAC_10	
12	BLANK2	
13	BIOFAC_11	
14	BIOFAC_12	
15	BIOFAC_13	
16	BIOFAC_14	
17	BIOFAC_15	
18	BIOFAC_16	
19	BIOFAC_17	
20	BIOFAC_18	
21	BIOFAC_19	
22	BIOFAC_20	
23	BLANK3	
24	BIOFAC_21	
25	BIOFAC_22	
26	BIOFAC_23	
27	BIOFAC_24	
28	BIOFAC_25	
29	BIOFAC_26	
30	BIOFAC_27	
31	BIOFAC_28	
32	BIOFAC_29	
33	BIOFAC_30	
